Loan_ID,Applicant_Age,Years_in_Employment,Marital_Status,Dependents,Applicant_Income,Coapplicant_Income,Credit_Score,Existing_Debt,Loan_Amount,Loan_Term_Months,Interest_Rate,Collateral_Value,Employment_Type,Education_Level,Property_Area,Loan_Start_Date,Payment_Delays_6mo,Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_End_Date,Probability_of_Default,Default_Status
bdd640fb-0667-4ad1-9c80-317fa3b1799d,60,3,Divorced,4,49874,33989.0,520,9707.9561769643,31696,12,6.8,75160.37795650346,Salaried,Not Graduate,Semiurban,2019-10-21,5,9.939191732635864,0.11575832510927574,2020-09-21,0.9999999928543675,1
23b8c1e9-3924-46de-beb1-3b9046685257,50,8,Divorced,1,61103,40586.0,649,21467.83135571576,48805,24,9.1,101108.62871179209,Salaried,Graduate,Semiurban,2022-08-02,0,10.273957285194278,0.21111054534089646,2024-06-04,0.9999999999756344,1
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,36,3,Single,1,53128,57952.0,812,9639.843179887568,47011,60,8.4,48515.7771374662,Salaried,Graduate,Semiurban,2020-01-10,3,40.032022888682604,0.08678210656986855,2024-08-16,0.9999999999999984,1
972a8469-1641-4f82-8b9d-2434e465e150,64,3,Single,0,37182,42343.0,705,53186.55174768539,32969,12,6.0,82375.82080713664,Business,Graduate,Semiurban,2020-08-06,2,32.82012069756644,0.6687945042839498,2021-07-08,0.9999999999991931,1
17fc695a-07a0-4a6e-8822-e8f36c031199,29,3,Single,0,61348,18674.0,590,86235.94417923808,24861,84,9.9,68009.44954553913,Salaried,Graduate,Rural,2019-12-12,2,24.401646421955135,1.0776394808897203,2026-05-21,0.9999999998418505,1
9a1de644-815e-46d1-bb8f-aa1837f8a88b,42,5,Single,2,6394,13312.0,647,66817.93775333607,28153,36,8.8,69704.57961371003,Salaried,Graduate,Semiurban,2018-02-16,3,5.684853934705016,3.3905687194061027,2020-11-20,0.9999999999923623,1
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,60,43,Divorced,2,66132,8163.0,746,55714.22806541144,28956,12,5.1,84339.85526398207,Salaried,Graduate,Semiurban,2022-07-06,3,50.580506738770495,0.7498953922877603,2023-06-07,0.9999999999998908,1
6b65a6a4-8b81-48f6-b38a-088ca65ed389,40,4,Married,1,95308,3588.0,807,5980.352804274528,12938,12,9.8,5687.501045444987,Self-Employed,Graduate,Rural,2022-05-11,2,8.201941134007392,0.06047051785468243,2023-04-12,0.9999999999999996,1
47378190-96da-4dac-b2ff-5d2a386ecbe0,44,2,Married,0,51326,23493.0,473,17475.05428247909,34610,36,7.7,61495.39771865679,Salaried,Graduate,Rural,2019-06-13,3,14.100731259361392,0.2335612708163471,2022-03-17,0.9999999508551729,1
c241330b-01a9-471f-9e8a-774bcf36d58b,32,1,Married,1,111550,33175.0,764,61312.458120923344,48320,84,8.4,139998.8944315721,Salaried,Not Graduate,Urban,2018-04-30,2,43.795561329723675,0.4236450818852407,2024-10-07,0.9999999999997562,1
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,32,1,Single,0,75076,30418.0,750,27967.927867804938,33976,12,8.6,59793.75311002339,Self-Employed,Graduate,Rural,2022-09-12,1,70.30329284601288,0.2651114068705146,2023-08-14,0.9999999999999549,1
371ecd7b-27cd-4130-8722-9389571aa876,45,5,Single,0,96460,20764.0,556,98143.63079370695,33288,60,10.3,22316.75831064226,Salaried,Graduate,Semiurban,2023-05-06,1,29.642527431339072,0.8372244042969242,2027-12-11,0.9999999997748421,1
1a2a73ed-562b-4f79-8374-59eef50bea63,57,4,Single,1,69644,2025.0,700,43129.71928685072,20411,24,9.0,29310.28130210806,Salaried,Graduate,Rural,2020-07-22,1,10.919347168030038,0.6017820466980706,2022-05-25,0.9999999999997877,1
5be6128e-18c2-4797-a142-ea7d17be3111,61,2,Married,2,73789,49520.0,624,33102.92600814752,29915,36,6.4,67395.5722182072,Salaried,Not Graduate,Urban,2022-03-19,2,28.466741776527087,0.2684528911535765,2024-12-21,0.9999999999692453,1
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,45,6,Married,1,63580,19508.0,561,56924.30574318638,59586,60,7.2,125815.39550414038,Salaried,Not Graduate,Rural,2018-09-14,1,20.340797600072257,0.6851003832419018,2023-04-21,0.9999999960282069,1
759cde66-bacf-43d0-8b1f-9163ce9ff57f,24,7,Divorced,3,20805,37812.0,636,16267.042347536448,24348,60,6.2,69846.38314055753,Self-Employed,Graduate,Rural,2022-03-20,1,9.10123200813016,0.2775093375334615,2026-10-25,0.9999999999818501,1
